Modelo,Marca,Ano,Quilometragem,Preço
FIAT LINEA ABSOLUTE 1.9/1.8 FLEX DUALOGIC 4P,FIAT,2016,56000,R$ 42.900
RENAULT SANDERO STEPWAY HI-POWER 1.6 8V 5P,RENAULT,2015,61000,R$ 42.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2016,58000,R$ 54.990
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,74000,R$ 55.000
FORD 1.6 SE HATCH 16V FLEX 4P POWERSHIFT,FORD,2016,30000,R$ 46.900
HYUNDAI TUCSON 2.0 16V AUT.,HYUNDAI,2015,74000,R$ 49.900
HONDA FIT CX 1.4 FLEX 16V 5P AUT.,HONDA,2014,77000,R$ 44.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,46826,R$ 36.500
NISSAN MARCH SL 1.6 16V FLEXSTART 5P AUT.,NISSAN,2018,27000,R$ 54.000
FORD KA 1.5 SE 12V FLEX 5P AUT.,FORD,2019,39672,R$ 53.000
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2015,0,R$ 47.900
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,49000,R$ 51.990
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2014,72000,R$ 43.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2016,41089,R$ 53.900
FORD FIESTA SE PLUS 1.6 16V FLEX AUT. 5P,FORD,2018,60000,R$ 49.900
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,70,R$ 45.900
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,70000,R$ 53.500
CITROEN C3 PICASSO TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,40000,R$ 37.000
VW - VOLKSWAGEN CROSSFOX I MOTION 1.6 MI T. FLEX 8V 5P,VW - VOLKSWAGEN,2014,64303,R$ 43.900
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2016,56000,R$ 38.000
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2016,37000,R$ 54.900
FORD KA 1.5 SEDAN SE PLUS 12V FLEX 4P AUT.,FORD,2020,20000,R$ 50.200
GM - CHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,GM - CHEVROLET,2020,17000,R$ 0
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2014,72000,R$ 49.900
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,71000,R$ 52.900
FORD ECOSPORT SE 2.0 16V FLEX 5P AUT.,FORD,2015,39000,R$ 52.000
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2015,68000,R$ 47.900
GM - CHEVROLET COBALT LTZ 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2016,51000,R$ 49.500
GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,0,R$ 47.900
HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P,HONDA,2014,72300,R$ 54.990
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2014,57000,R$ 42.000
CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,34000,R$ 43.900
GM - CHEVROLET TRACKER LTZ 1.0 TURBO 12V FLEX AUT,GM - CHEVROLET,2021,0,R$ 0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2016,50000,R$ 47.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,69000,R$ 39.900
VW - VOLKSWAGEN SPACEFOX COMF. I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2016,150,R$ 43.900
FIAT PUNTO ESSENCE DUALOGIC 1.6 FLEX 16V 5P,FIAT,2015,64000,R$ 31.000
KIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX AUT.,KIA MOTORS,2014,46473,R$ 41.990
MERCEDES-BENZ CLA-200 FIRST EDITION 1.6 TB 16V  AUT.,MERCEDES-BENZ,2014,0,R$ 0
GM - CHEVROLET S10 P-UP H.COUNTRY 2.8 4X4 CD DIES.AUT.,GM - CHEVROLET,2018,37000,R$ 0
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2016,60000,R$ 53.900
GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,2020,43000,R$ 49.000
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.,FORD,2015,64000,R$ 52.900
TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,TOYOTA,2021,3047,R$ 0
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,68000,R$ 45.900
FORD FIESTA SEL STYLE 1.0 ECOBOOST AUT . 5P,FORD,2018,43000,R$ 54.900
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2016,79800,R$ 47.200
RENAULT LOGAN EXPRES. EASYR HI-FLEX 1.6 8V,RENAULT,2018,54064,R$ 38.990
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,58000,R$ 42.800
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,0,R$ 44.800
FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2016,48107,R$ 41.990
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,TOYOTA,2021,7000,R$ 0
NISSAN SENTRA SL 2.0 FLEXSTART 16V AUT.,NISSAN,2014,130,R$ 49.900
PEUGEOT 408 SED. BUSINESS 1.6 TB FLEX 16V 4P AUT,PEUGEOT,2017,37000,R$ 48.000
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,80000,R$ 44.900
TOYOTA ETIOS,TOYOTA,2017,29787,R$ 47.900
FORD ECOSPORT SE 2.0 16V FLEX 5P AUT.,FORD,2016,65000,R$ 54.900
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,CITROEN,2014,79000,R$ 42.000
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,CITROEN,2014,51000,R$ 41.999
JEEP COMPASS SPORT 2.0 16V 156CV 5P,JEEP,2014,77000,R$ 50.000
LIFAN X60 VIP 1.8 16V 128CV 5P AUT.,LIFAN,2018,57000,R$ 54.900
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2015,130,R$ 37.500
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2015,68000,R$ 48.900
FORD KA+ SEDAN 1.0 SEL TICVT FLEX 4P,FORD,2019,41813,R$ 48.900
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,80000,R$ 45.900
FORD FIESTA SEDAN SE 1.6 8V FLEX 4P,FORD,2015,0,R$ 39.900
CITROEN AIRCROSS FEEL 1.6 FLEX 16V 5P AUT.,CITROEN,2016,64314,R$ 50.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,77000,R$ 45.900
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2015,44000,R$ 43.000
HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2015,75000,R$ 55.000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,66116,R$ 54.500
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,63,R$ 48.900
GM - CHEVROLET CAPTIVA SPORT FWD 2.4 16V 171/185CV,GM - CHEVROLET,2014,75000,R$ 54.900
VW - VOLKSWAGEN UP! MOVE I MOTION 1.0 T. FLEX 12V 5P,VW - VOLKSWAGEN,2018,35785,R$ 46.990
VW - VOLKSWAGEN SPACEFOX HIGHLINE I MOT. 1.6 T.FLEX 16V,VW - VOLKSWAGEN,2016,73134,R$ 53.900
FIAT GRAND SIENA ESSENCE DUAL. 1.6 FLEX 16V,FIAT,2015,27000,R$ 38.900
GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2014,44000,R$ 53.500
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,192,R$ 40.000
NISSAN SV 2.0 16V CVT (FLEX),NISSAN,2014,78731,R$ 49.990
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,71000,R$ 52.900
HONDA FIT,HONDA,2015,59651,R$ 51.800
NISSAN MARCH SL 1.6 16V FLEXSTART 5P AUT.,NISSAN,2017,46272,R$ 47.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,69293,R$ 42.500
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,52000,R$ 49.950
CITROEN C4 LOUNGE TENDANCE 1.6 TURBO FLEX AUT.,CITROEN,2015,78000,R$ 41.900
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,42333,R$ 39.990
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX MEC.,RENAULT,2016,80000,R$ 50.000
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2014,70000,R$ 49.900
FIAT UNO SPORTING DUAL./GSR 1.3 FLEX 8V 5P,FIAT,2018,16000,R$ 49.900
NISSAN SENTRA SL 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,2014,48000,R$ 47.900
VW - VOLKSWAGEN FOX COMFORTLINE I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2017,26000,R$ 47.500
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2019,45000,R$ 0
